seed,arm,digits,carry,width,coverage,eval_n,exact,digit,final_loss
0,baseline_msd,3,high,stable,0.2981366459627329,113,0.017699115044247787,0.6932153392330384,0.2580386161804199
0,baseline_msd,3,low,stable,0.30357142857142855,39,0.02564102564102564,0.7478632478632479,0.2580386161804199
0,baseline_msd,4,high,stable,0.2999501743896363,400,0.0,0.5965625,0.2580386161804199
0,baseline_msd,4,low,stable,0.30128205128205127,109,0.11926605504587157,0.7717889908256881,0.2580386161804199
0,lsd_first,3,high,stable,0.2981366459627329,113,0.017699115044247787,0.6932153392330384,0.2580388098955154
0,lsd_first,3,low,stable,0.30357142857142855,39,0.02564102564102564,0.7478632478632479,0.2580388098955154
0,lsd_first,4,high,stable,0.2999501743896363,400,0.0,0.5965625,0.2580388098955154
0,lsd_first,4,low,stable,0.30128205128205127,109,0.11926605504587157,0.7717889908256881,0.2580388098955154
0,recurrent_msd,3,high,stable,0.2981366459627329,113,0.017699115044247787,0.6799410029498525,0.20696637332439421
0,recurrent_msd,3,low,stable,0.30357142857142855,39,0.15384615384615385,0.7521367521367521,0.20696637332439421
0,recurrent_msd,4,high,stable,0.2999501743896363,400,0.005,0.651875,0.20696637332439421
0,recurrent_msd,4,low,stable,0.30128205128205127,109,0.12844036697247707,0.7844036697247706,0.20696637332439421
1,baseline_msd,3,high,stable,0.2981366459627329,113,0.04424778761061947,0.6991150442477876,0.23191467076539993
1,baseline_msd,3,low,stable,0.30357142857142855,39,0.1282051282051282,0.7521367521367521,0.23191467076539993
1,baseline_msd,4,high,stable,0.2999501743896363,400,0.005,0.6396875,0.23191467076539993
1,baseline_msd,4,low,stable,0.30128205128205127,109,0.07339449541284404,0.7557339449541285,0.23191467076539993
1,lsd_first,3,high,stable,0.2981366459627329,113,0.04424778761061947,0.6991150442477876,0.23191467821598052
1,lsd_first,3,low,stable,0.30357142857142855,39,0.1282051282051282,0.7521367521367521,0.23191467821598052
1,lsd_first,4,high,stable,0.2999501743896363,400,0.005,0.6396875,0.23191467821598052
1,lsd_first,4,low,stable,0.30128205128205127,109,0.07339449541284404,0.7557339449541285,0.23191467821598052
1,recurrent_msd,3,high,stable,0.2981366459627329,113,0.035398230088495575,0.6828908554572272,0.19143568277359008
1,recurrent_msd,3,low,stable,0.30357142857142855,39,0.1282051282051282,0.7777777777777778,0.19143568277359008
1,recurrent_msd,4,high,stable,0.2999501743896363,400,0.0025,0.66,0.19143568277359008
1,recurrent_msd,4,low,stable,0.30128205128205127,109,0.08256880733944955,0.7706422018348624,0.19143568277359008
2,baseline_msd,3,high,stable,0.2981366459627329,113,0.008849557522123894,0.6651917404129793,0.24390459954738616
2,baseline_msd,3,low,stable,0.30357142857142855,39,0.10256410256410256,0.7435897435897436,0.24390459954738616
2,baseline_msd,4,high,stable,0.2999501743896363,400,0.0,0.6325,0.24390459954738616
2,baseline_msd,4,low,stable,0.30128205128205127,109,0.06422018348623854,0.7729357798165137,0.24390459954738616
2,lsd_first,3,high,stable,0.2981366459627329,113,0.008849557522123894,0.6651917404129793,0.2439046546816826
2,lsd_first,3,low,stable,0.30357142857142855,39,0.10256410256410256,0.7435897435897436,0.2439046546816826
2,lsd_first,4,high,stable,0.2999501743896363,400,0.0,0.6325,0.2439046546816826
2,lsd_first,4,low,stable,0.30128205128205127,109,0.06422018348623854,0.7729357798165137,0.2439046546816826
2,recurrent_msd,3,high,stable,0.2981366459627329,113,0.02654867256637168,0.6769911504424779,0.20842557549476623
2,recurrent_msd,3,low,stable,0.30357142857142855,39,0.10256410256410256,0.7777777777777778,0.20842557549476623
2,recurrent_msd,4,high,stable,0.2999501743896363,400,0.005,0.65,0.20842557549476623
2,recurrent_msd,4,low,stable,0.30128205128205127,109,0.05504587155963303,0.7706422018348624,0.20842557549476623
