seed,digits,arm,kind,exact_effect,digit_effect
0,3,baseline_msd,carry_drop,-0.007941910596777853,-0.05464790863020952
0,3,lsd_first,carry_drop,-0.007941910596777853,-0.05464790863020952
0,3,recurrent_msd,carry_drop,-0.13614703880190607,-0.07219574918689964
0,3,lsd_first,high_rescue,0.0,0.0
0,3,lsd_first,low_control_move,0.0,0.0
0,3,recurrent_msd,high_rescue,0.0,-0.013274336283185861
0,3,recurrent_msd,low_control_move,0.12820512820512822,0.004273504273504258
0,4,baseline_msd,carry_drop,-0.11926605504587157,-0.17522649082568809
0,4,lsd_first,carry_drop,-0.11926605504587157,-0.17522649082568809
0,4,recurrent_msd,carry_drop,-0.12344036697247707,-0.13252866972477062
0,4,lsd_first,high_rescue,0.0,0.0
0,4,lsd_first,low_control_move,0.0,0.0
0,4,recurrent_msd,high_rescue,0.005,0.05531249999999999
0,4,recurrent_msd,low_control_move,0.009174311926605505,0.012614678899082521
1,3,baseline_msd,carry_drop,-0.08395734059450873,-0.05302170788896454
1,3,lsd_first,carry_drop,-0.08395734059450873,-0.05302170788896454
1,3,recurrent_msd,carry_drop,-0.09280689811663262,-0.09488692232055063
1,3,lsd_first,high_rescue,0.0,0.0
1,3,lsd_first,low_control_move,0.0,0.0
1,3,recurrent_msd,high_rescue,-0.008849557522123894,-0.016224188790560423
1,3,recurrent_msd,low_control_move,0.0,0.02564102564102566
1,4,baseline_msd,carry_drop,-0.06839449541284404,-0.11604644495412852
1,4,lsd_first,carry_drop,-0.06839449541284404,-0.11604644495412852
1,4,recurrent_msd,carry_drop,-0.08006880733944954,-0.1106422018348624
1,4,lsd_first,high_rescue,0.0,0.0
1,4,lsd_first,low_control_move,0.0,0.0
1,4,recurrent_msd,high_rescue,-0.0025,0.020312500000000067
1,4,recurrent_msd,low_control_move,0.009174311926605505,0.014908256880733939
2,3,baseline_msd,carry_drop,-0.09371454504197867,-0.07839800317676426
2,3,lsd_first,carry_drop,-0.09371454504197867,-0.07839800317676426
2,3,recurrent_msd,carry_drop,-0.07601542999773088,-0.10078662733529986
2,3,lsd_first,high_rescue,0.0,0.0
2,3,lsd_first,low_control_move,0.0,0.0
2,3,recurrent_msd,high_rescue,0.017699115044247787,0.01179941002949858
2,3,recurrent_msd,low_control_move,0.0,0.03418803418803418
2,4,baseline_msd,carry_drop,-0.06422018348623854,-0.14043577981651378
2,4,lsd_first,carry_drop,-0.06422018348623854,-0.14043577981651378
2,4,recurrent_msd,carry_drop,-0.05004587155963303,-0.1206422018348624
2,4,lsd_first,high_rescue,0.0,0.0
2,4,lsd_first,low_control_move,0.0,0.0
2,4,recurrent_msd,high_rescue,0.005,0.01750000000000007
2,4,recurrent_msd,low_control_move,-0.009174311926605505,-0.002293577981651307
