seed,x,digits,carry_bin,lsd_position,correct,n_terms,raw_coeff,carry_in,carry_out,total_pre_mod,edge_distance,target_digit
0,216,3,high,5,1,0,0,0,0,0,0,0
0,216,3,high,4,1,1,4,0,0,4,1,4
0,216,3,high,3,0,2,4,2,0,6,2,6
0,216,3,high,2,0,3,25,1,2,26,2,6
0,216,3,high,1,1,2,12,3,1,15,1,5
0,216,3,high,0,1,1,36,0,3,36,0,6
0,253,3,high,5,1,0,0,0,0,0,0,0
0,253,3,high,4,1,1,4,2,0,6,1,6
0,253,3,high,3,0,2,20,4,2,24,2,4
0,253,3,high,2,0,3,37,3,4,40,2,0
0,253,3,high,1,1,2,30,0,3,30,1,0
0,253,3,high,0,1,1,9,0,0,9,0,9
0,158,3,high,5,1,0,0,0,0,0,0,0
0,158,3,high,4,1,1,1,1,0,2,1,2
0,158,3,high,3,0,2,10,4,1,14,2,4
0,158,3,high,2,1,3,41,8,4,49,2,9
0,158,3,high,1,0,2,80,6,8,86,1,6
0,158,3,high,0,1,1,64,0,6,64,0,4
0,291,3,high,5,1,0,0,0,0,0,0,0
0,291,3,high,4,1,1,4,4,0,8,1,8
0,291,3,high,3,0,2,36,8,4,44,2,4
0,291,3,high,2,0,3,85,1,8,86,2,6
0,291,3,high,1,1,2,18,0,1,18,1,8
0,291,3,high,0,1,1,1,0,0,1,0,1
0,182,3,high,5,1,0,0,0,0,0,0,0
0,182,3,high,4,1,1,1,2,0,3,1,3
0,182,3,high,3,0,2,16,7,2,23,2,3
0,182,3,high,2,0,3,68,3,7,71,2,1
0,182,3,high,1,0,2,32,0,3,32,1,2
0,182,3,high,0,1,1,4,0,0,4,0,4
0,294,3,high,5,1,0,0,0,0,0,0,0
0,294,3,high,4,1,1,4,4,0,8,1,8
0,294,3,high,3,0,2,36,10,4,46,2,6
0,294,3,high,2,0,3,97,7,10,104,2,4
0,294,3,high,1,0,2,72,1,7,73,1,3
0,294,3,high,0,1,1,16,0,1,16,0,6
0,193,3,high,5,1,0,0,0,0,0,0,0
0,193,3,high,4,1,1,1,2,0,3,1,3
0,193,3,high,3,0,2,18,9,2,27,2,7
0,193,3,high,2,0,3,87,5,9,92,2,2
0,193,3,high,1,1,2,54,0,5,54,1,4
0,193,3,high,0,1,1,9,0,0,9,0,9
0,268,3,high,5,1,0,0,0,0,0,0,0
0,268,3,high,4,1,1,4,3,0,7,1,7
0,268,3,high,3,0,2,24,7,3,31,2,1
0,268,3,high,2,0,3,68,10,7,78,2,8
0,268,3,high,1,0,2,96,6,10,102,1,2
0,268,3,high,0,1,1,64,0,6,64,0,4
0,258,3,high,5,1,0,0,0,0,0,0,0
0,258,3,high,4,1,1,4,2,0,6,1,6
0,258,3,high,3,1,2,20,6,2,26,2,6
0,258,3,high,2,0,3,57,8,6,65,2,5
0,258,3,high,1,0,2,80,6,8,86,1,6
0,258,3,high,0,1,1,64,0,6,64,0,4
0,246,3,high,5,1,0,0,0,0,0,0,0
0,246,3,high,4,0,1,4,2,0,6,1,6
0,246,3,high,3,0,2,16,4,2,20,2,0
0,246,3,high,2,0,3,40,5,4,45,2,5
0,246,3,high,1,1,2,48,3,5,51,1,1
0,246,3,high,0,1,1,36,0,3,36,0,6
0,239,3,high,5,1,0,0,0,0,0,0,0
0,239,3,high,4,1,1,4,1,0,5,1,5
0,239,3,high,3,1,2,12,5,1,17,2,7
0,239,3,high,2,0,3,45,6,5,51,2,1
0,239,3,high,1,0,2,54,8,6,62,1,2
0,239,3,high,0,1,1,81,0,8,81,0,1
0,171,3,high,5,1,0,0,0,0,0,0,0
0,171,3,high,4,1,1,1,1,0,2,1,2
0,171,3,high,3,0,2,14,5,1,19,2,9
0,171,3,high,2,0,3,51,1,5,52,2,2
0,171,3,high,1,1,2,14,0,1,14,1,4
0,171,3,high,0,1,1,1,0,0,1,0,1
0,152,3,high,5,1,0,0,0,0,0,0,0
0,152,3,high,4,1,1,1,1,0,2,1,2
0,152,3,high,3,1,2,10,3,1,13,2,3
0,152,3,high,2,0,3,29,2,3,31,2,1
0,152,3,high,1,1,2,20,0,2,20,1,0
0,152,3,high,0,1,1,4,0,0,4,0,4
0,219,3,high,5,1,0,0,0,0,0,0,0
0,219,3,high,4,1,1,4,0,0,4,1,4
0,219,3,high,3,0,2,4,3,0,7,2,7
0,219,3,high,2,0,3,37,2,3,39,2,9
0,219,3,high,1,1,2,18,8,2,26,1,6
