feature,threshold,mean_effect_hi_minus_lo,seed_effects,abs_effect
edge_distance,1,-0.7101300268535086,"[-0.7166740281018067, -0.7031674934124593, -0.7105485590462599]",0.7101300268535086
n_terms,2,-0.6432681807277663,"[-0.6401159355945191, -0.6452982044969671, -0.6443904020918125]",0.6432681807277663
edge_distance,2,-0.6188526048904811,"[-0.6145970937912814, -0.6223724628556839, -0.619588258024478]",0.6188526048904811
n_terms,1,-0.6024701599220966,"[-0.6041114178041015, -0.6068825237545803, -0.596416538207608]",0.6024701599220966
n_terms,3,-0.5344605670944148,"[-0.5337543483525324, -0.5363963562785562, -0.5332309966521559]",0.5344605670944148
carry_in,0,-0.5267992908219361,"[-0.5325946131491659, -0.519311943475112, -0.5284913158415303]",0.5267992908219361
carry_in,9,-0.5254187757378174,"[-0.5251319063143446, -0.5378935741249142, -0.5132308467741935]",0.5254187757378174
edge_distance,0,-0.5253473655248314,"[-0.5279612051176228, -0.5283739166322741, -0.5197069748245976]",0.5253473655248314
carry_in,8,-0.5246925141364563,"[-0.5155289330922243, -0.5484833806940498, -0.5100652286230948]",0.5246925141364563
carry_in,11,-0.5076254354183508,"[-0.5036835526497331, -0.5301259887732079, -0.48906676483211176]",0.5076254354183508
carry_in,10,-0.5026187171202277,"[-0.4937069136464907, -0.5193847278439423, -0.4947645098702501]",0.5026187171202277
carry_in,13,-0.5016778392293789,"[-0.5175917273628328, -0.5139199261721524, -0.47352186415315156]",0.5016778392293789
carry_in,2,-0.5006297561425952,"[-0.5086528274182416, -0.4912394655975099, -0.5019969754120341]",0.5006297561425952
carry_in,14,-0.49644466056544195,"[-0.513418961747935, -0.5090434472865603, -0.46687157266183055]",0.49644466056544195
carry_in,1,-0.4929043486628279,"[-0.5065731541169524, -0.4819615457279211, -0.4901783461436103]",0.4929043486628279
carry_in,12,-0.48898877539809277,"[-0.47825605824460876, -0.5183691655641716, -0.470341102385498]",0.48898877539809277
carry_in,4,-0.4867341651937953,"[-0.4937807532910603, -0.48292496270801377, -0.4834967795823118]",0.4867341651937953
raw_coeff,4,-0.47437447924915094,"[-0.47329123572322646, -0.47608418945487263, -0.4737480125693538]",0.47437447924915094
carry_in,3,-0.4742646937534472,"[-0.4843369806454546, -0.4687291443465923, -0.4697279562682947]",0.4742646937534472
total_pre_mod,5,-0.4739168949339901,"[-0.4798308658674821, -0.47051838949952907, -0.4714014294349591]",0.4739168949339901
carry_out,0,-0.47226175263764447,"[-0.4697874674474865, -0.4769171201264784, -0.47008067033896855]",0.47226175263764447
total_pre_mod,9,-0.47226175263764447,"[-0.4697874674474865, -0.4769171201264784, -0.47008067033896855]",0.47226175263764447
carry_in,6,-0.4722183216000182,"[-0.4732501776556113, -0.4756817589154147, -0.4677230282290285]",0.4722183216000182
carry_in,15,-0.47203311084209787,"[-0.49521932762031595, -0.4823305132009911, -0.4385494917049866]",0.47203311084209787
total_pre_mod,4,-0.4716526602179241,"[-0.47626537927905593, -0.4698740752446966, -0.46881852613001995]",0.4716526602179241
raw_coeff,5,-0.471469225998344,"[-0.470289541943305, -0.4737377015778565, -0.4703804344738705]",0.471469225998344
carry_in,16,-0.4686362007669416,"[-0.48873729069835403, -0.4967014899202309, -0.4204698216822401]",0.4686362007669416
total_pre_mod,6,-0.46493735217149373,"[-0.4681590302438777, -0.4635761594545857, -0.46307686681601795]",0.46493735217149373
