run_id,task,bits,modulus,cohort,n_layers,d_model,params,device,budget_mode,budget,steps_completed,train_seconds,lr,n_train,x_space,x_coverage,first_train_loss,final_train_loss,diverged,flat_from_start,n_eval,digit_acc,exact_acc,chance_digit,chance_exact
exp4_square_b10_L2_d128_steps350_s0,square,10,899,train_seen,2,128,402449,cpu,steps,350.0,350,21.102,0.0003,300,840,0.357143,2.90802,0.1241,False,False,100,0.97806,0.89,0.2011,0.01
exp4_square_b10_L2_d128_steps350_s0,square,10,899,test_fresh,2,128,402449,cpu,steps,350.0,350,21.102,0.0003,300,840,0.357143,2.90802,0.1241,False,False,100,0.59928,0.02,0.18784,0.01
exp4_squaremod_b10_L2_d128_steps350_s0,squaremod,10,899,train_seen,2,128,402449,cpu,steps,350.0,350,20.021,0.0003,300,840,0.357143,2.83589,0.27752,False,False,100,0.95053,0.87,0.17314,0.03
exp4_squaremod_b10_L2_d128_steps350_s0,squaremod,10,899,test_fresh,2,128,402449,cpu,steps,350.0,350,20.021,0.0003,300,840,0.357143,2.83589,0.27752,False,False,100,0.09343,0.0,0.17301,0.03
exp4_square_b12_L2_d128_steps350_s0,square,12,2183,train_seen,2,128,402705,cpu,steps,350.0,350,24.076,0.0003,900,2088,0.431034,3.01917,0.88377,False,False,150,0.67156,0.07333,0.20147,0.006667
exp4_square_b12_L2_d128_steps350_s0,square,12,2183,test_fresh,2,128,402705,cpu,steps,350.0,350,24.076,0.0003,900,2088,0.431034,3.01917,0.88377,False,False,150,0.58475,0.00667,0.20551,0.006667
exp4_squaremod_b12_L2_d128_steps350_s0,squaremod,12,2183,train_seen,2,128,402705,cpu,steps,350.0,350,24.095,0.0003,900,2088,0.431034,2.94201,1.82727,False,False,150,0.33654,0.00667,0.25769,0.02
exp4_squaremod_b12_L2_d128_steps350_s0,squaremod,12,2183,test_fresh,2,128,402705,cpu,steps,350.0,350,24.095,0.0003,900,2088,0.431034,2.94201,1.82727,False,False,150,0.20683,0.0,0.23529,0.013333
exp4_square_b14_L2_d128_steps350_s0,square,14,12319,train_seen,2,128,402961,cpu,steps,350.0,350,28.352,0.0003,3000,12096,0.248016,2.94295,1.27751,False,False,300,0.53627,0.0,0.1861,0.003333
exp4_square_b14_L2_d128_steps350_s0,square,14,12319,test_fresh,2,128,402961,cpu,steps,350.0,350,28.352,0.0003,3000,12096,0.248016,2.94295,1.27751,False,False,300,0.50256,0.0,0.18356,0.003333
exp4_squaremod_b14_L2_d128_steps350_s0,squaremod,14,12319,train_seen,2,128,402961,cpu,steps,350.0,350,27.378,0.0003,3000,12096,0.248016,3.01456,2.18783,False,False,300,0.17752,0.0,0.1816,0.006667
exp4_squaremod_b14_L2_d128_steps350_s0,squaremod,14,12319,test_fresh,2,128,402961,cpu,steps,350.0,350,27.378,0.0003,3000,12096,0.248016,3.01456,2.18783,False,False,300,0.15094,0.0,0.17309,0.006667
exp4_reduce_b6_L2_d128_steps350_s0,reduce,6,35,train_seen,2,128,402449,cpu,steps,350.0,350,21.1,0.0003,300,1225,0.244898,2.66848,0.12512,False,False,100,0.98343,0.97,0.27072,0.06
exp4_reduce_b6_L2_d128_steps350_s0,reduce,6,35,test_fresh,2,128,402449,cpu,steps,350.0,350,21.1,0.0003,300,1225,0.244898,2.66848,0.12512,False,False,100,0.48214,0.31,0.28571,0.08
exp4_reduce_b7_L2_d128_steps350_s0,reduce,7,91,train_seen,2,128,402449,cpu,steps,350.0,350,20.656,0.0003,2500,8281,0.301896,2.89401,1.78644,False,False,300,0.35345,0.07667,0.13966,0.023333
exp4_reduce_b7_L2_d128_steps350_s0,reduce,7,91,test_fresh,2,128,402449,cpu,steps,350.0,350,20.656,0.0003,2500,8281,0.301896,2.89401,1.78644,False,False,300,0.31874,0.05,0.14186,0.03
exp4_reduce_b8_L2_d128_steps350_s0,reduce,8,143,train_seen,2,128,402705,cpu,steps,350.0,350,25.039,0.0003,5000,20449,0.244511,2.97455,1.84025,False,False,300,0.29596,0.04333,0.26906,0.02
exp4_reduce_b8_L2_d128_steps350_s0,reduce,8,143,test_fresh,2,128,402705,cpu,steps,350.0,350,25.039,0.0003,5000,20449,0.244511,2.97455,1.84025,False,False,300,0.26855,0.03333,0.25074,0.02
