bits,N,y,q,r,N_digits,y_digits,q_digits,r_digits,q_norm,q_bin,exact,correct_digits,valid_digits
6,35,559,15,34,2,3,2,2,0.44117647,Q25_50,0,0,2
6,35,274,7,29,2,3,1,2,0.20588235,Q0_25,0,1,2
6,35,756,21,21,2,3,2,2,0.61764706,Q50_75,0,1,2
6,35,208,5,33,2,3,1,2,0.14705882,Q0_25,0,0,2
6,35,37,1,2,2,2,1,1,0.02941176,Q0_25,1,1,1
6,35,488,13,33,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,1071,30,21,2,4,2,2,0.88235294,Q75_100,0,1,2
6,35,776,22,6,2,3,2,1,0.64705882,Q50_75,0,0,1
6,35,615,17,20,2,3,2,2,0.5,Q50_75,0,1,2
6,35,966,27,21,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,949,27,4,2,3,2,1,0.79411765,Q75_100,0,0,1
6,35,226,6,16,2,3,1,2,0.17647059,Q0_25,0,0,2
6,35,600,17,5,2,3,2,1,0.5,Q50_75,0,0,1
6,35,820,23,15,2,3,2,2,0.67647059,Q50_75,0,0,2
6,35,52,1,17,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,1208,34,18,2,4,2,2,1.0,Q75_100,0,0,2
6,35,866,24,26,2,3,2,2,0.70588235,Q50_75,0,1,2
6,35,227,6,17,2,3,1,2,0.17647059,Q0_25,0,0,2
6,35,128,3,23,2,3,1,2,0.08823529,Q0_25,0,1,2
6,35,1160,33,5,2,4,2,1,0.97058824,Q75_100,0,0,1
6,35,883,25,8,2,3,2,1,0.73529412,Q50_75,0,0,1
6,35,85,2,15,2,2,1,2,0.05882353,Q0_25,0,0,2
6,35,986,28,6,2,3,2,1,0.82352941,Q75_100,0,0,1
6,35,251,7,6,2,3,1,1,0.20588235,Q0_25,0,0,1
6,35,372,10,22,2,3,2,2,0.29411765,Q25_50,1,2,2
6,35,330,9,15,2,3,1,2,0.26470588,Q25_50,0,0,2
6,35,531,15,6,2,3,2,1,0.44117647,Q25_50,0,0,1
6,35,111,3,6,2,3,1,1,0.08823529,Q0_25,0,0,1
6,35,1196,34,6,2,4,2,1,1.0,Q75_100,0,0,1
6,35,1148,32,28,2,4,2,2,0.94117647,Q75_100,0,1,2
6,35,540,15,15,2,3,2,2,0.44117647,Q25_50,0,0,2
6,35,759,21,24,2,3,2,2,0.61764706,Q50_75,0,1,2
6,35,617,17,22,2,3,2,2,0.5,Q50_75,1,2,2
6,35,584,16,24,2,3,2,2,0.47058824,Q25_50,1,2,2
6,35,624,17,29,2,3,2,2,0.5,Q50_75,0,1,2
6,35,726,20,26,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,631,18,1,2,3,2,1,0.52941176,Q50_75,0,0,1
6,35,926,26,16,2,3,2,2,0.76470588,Q75_100,0,0,2
6,35,810,23,5,2,3,2,1,0.67647059,Q50_75,0,0,1
6,35,565,16,5,2,3,2,1,0.47058824,Q25_50,0,0,1
6,35,1151,32,31,2,4,2,2,0.94117647,Q75_100,0,0,2
6,35,338,9,23,2,3,1,2,0.26470588,Q25_50,0,1,2
6,35,543,15,18,2,3,2,2,0.44117647,Q25_50,0,0,2
6,35,395,11,10,2,3,2,2,0.32352941,Q25_50,0,0,2
6,35,824,23,19,2,3,2,2,0.67647059,Q50_75,0,0,2
6,35,946,27,1,2,3,2,1,0.79411765,Q75_100,0,0,1
6,35,830,23,25,2,3,2,2,0.67647059,Q50_75,0,1,2
6,35,1082,30,32,2,4,2,2,0.88235294,Q75_100,0,0,2
6,35,549,15,24,2,3,2,2,0.44117647,Q25_50,0,1,2
6,35,663,18,33,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,652,18,22,2,3,2,2,0.52941176,Q50_75,1,2,2
6,35,508,14,18,2,3,2,2,0.41176471,Q25_50,0,0,2
6,35,840,24,0,2,3,2,1,0.70588235,Q50_75,0,0,1
6,35,710,20,10,2,3,2,2,0.58823529,Q50_75,0,0,2
6,35,597,17,2,2,3,2,1,0.5,Q50_75,1,1,1
6,35,735,21,0,2,3,2,1,0.61764706,Q50_75,0,0,1
6,35,885,25,10,2,3,2,2,0.73529412,Q50_75,0,0,2
6,35,250,7,5,2,3,1,1,0.20588235,Q0_25,0,0,1
6,35,1056,30,6,2,4,2,1,0.88235294,Q75_100,0,0,1
6,35,260,7,15,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,262,7,17,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,841,24,1,2,3,2,1,0.70588235,Q50_75,0,0,1
6,35,721,20,21,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,408,11,23,2,3,2,2,0.32352941,Q25_50,0,1,2
