N,y,q,r,y_digits,q_digits,q_norm,q_bin,y_six_digits,exact,correct_digits,valid_digits
247,4669,18,223,4,2,0.07317073,Q0_25,False,0,1,3
247,25191,101,244,5,3,0.41056911,Q25_50,False,0,1,3
247,43879,177,160,5,3,0.7195122,Q50_75,False,0,1,3
247,38860,157,81,5,3,0.63821138,Q50_75,False,0,1,2
247,48617,196,205,5,3,0.79674797,Q75_100,False,0,1,3
247,36703,148,147,5,3,0.60162602,Q50_75,False,0,1,3
247,50936,206,54,5,3,0.83739837,Q75_100,False,0,0,2
247,8580,34,182,4,2,0.13821138,Q0_25,False,0,2,3
247,55038,222,204,5,3,0.90243902,Q75_100,False,0,1,3
247,37862,153,71,5,3,0.62195122,Q50_75,False,0,1,2
247,42896,173,165,5,3,0.70325203,Q50_75,False,0,1,3
247,51589,208,213,5,3,0.84552846,Q75_100,False,0,2,3
247,3175,12,211,4,2,0.04878049,Q0_25,False,0,2,3
247,54045,218,199,5,3,0.88617886,Q75_100,False,0,0,3
247,13641,55,56,5,2,0.22357724,Q0_25,False,0,1,2
247,18303,74,25,5,2,0.30081301,Q25_50,False,0,0,2
247,12795,51,198,5,2,0.20731707,Q0_25,False,0,0,3
247,25321,102,127,5,3,0.41463415,Q25_50,False,0,1,3
247,4284,17,85,4,2,0.06910569,Q0_25,False,0,1,2
247,43609,176,137,5,3,0.71544715,Q50_75,False,0,1,3
247,59785,242,11,5,3,0.98373984,Q75_100,False,1,2,2
247,53730,217,131,5,3,0.88211382,Q75_100,False,0,1,3
247,16821,68,25,5,2,0.27642276,Q25_50,False,0,0,2
247,55463,224,135,5,3,0.91056911,Q75_100,False,0,2,3
247,34959,141,132,5,3,0.57317073,Q50_75,False,0,1,3
247,24814,100,114,5,3,0.40650407,Q25_50,False,0,1,3
247,43787,177,68,5,3,0.7195122,Q50_75,False,0,0,2
247,55295,223,214,5,3,0.90650407,Q75_100,False,0,1,3
247,47435,192,11,5,3,0.7804878,Q75_100,False,1,2,2
247,50194,203,53,5,3,0.82520325,Q75_100,False,0,0,2
247,1741,7,12,4,1,0.02845528,Q0_25,False,0,1,2
247,2727,11,10,4,2,0.04471545,Q0_25,False,0,0,2
247,662,2,168,3,1,0.00813008,Q0_25,False,0,1,3
247,5128,20,188,4,2,0.08130081,Q0_25,False,0,0,3
247,12648,51,51,5,2,0.20731707,Q0_25,False,0,0,2
247,2970,12,6,4,2,0.04878049,Q0_25,False,0,0,1
247,52935,214,77,5,3,0.8699187,Q75_100,False,0,0,2
247,11417,46,55,5,2,0.18699187,Q0_25,False,0,0,2
247,3957,16,5,4,2,0.06504065,Q0_25,False,0,0,1
247,46757,189,74,5,3,0.76829268,Q75_100,False,0,1,2
