alignment,digits,carry,width,admissible_n,train_n,coverage,eval_n,exact,digit,first_loss,final_loss
absolute,3,high,expand,630,189,0.3,400,0.0075,0.5675,2.1783220052719114,0.6782067120075226
absolute,3,high,stable,161,48,0.2981366459627329,113,0.008849557522123894,0.6563421828908554,2.1783220052719114,0.6782067120075226
absolute,3,low,expand,53,16,0.3018867924528302,37,0.10810810810810811,0.7477477477477478,2.1783220052719114,0.6782067120075226
absolute,3,low,stable,56,17,0.30357142857142855,39,0.15384615384615385,0.7991452991452992,2.1783220052719114,0.6782067120075226
absolute,4,high,expand,6731,2019,0.29995543009953946,400,0.0,0.4846875,2.1783220052719114,0.6782067120075226
absolute,4,high,stable,2007,602,0.2999501743896363,400,0.0025,0.5634375,2.1783220052719114,0.6782067120075226
absolute,4,low,expand,106,32,0.3018867924528302,74,0.0945945945945946,0.7972972972972973,2.1783220052719114,0.6782067120075226
absolute,4,low,stable,156,47,0.30128205128205127,109,0.05504587155963303,0.7637614678899083,2.1783220052719114,0.6782067120075226
place,3,high,expand,630,189,0.3,400,0.01,0.5870833333333333,2.1605252504348753,0.5813904643058777
place,3,high,stable,161,48,0.2981366459627329,113,0.04424778761061947,0.7050147492625368,2.1605252504348753,0.5813904643058777
place,3,low,expand,53,16,0.3018867924528302,37,0.10810810810810811,0.7972972972972973,2.1605252504348753,0.5813904643058777
place,3,low,stable,56,17,0.30357142857142855,39,0.2564102564102564,0.8247863247863247,2.1605252504348753,0.5813904643058777
place,4,high,expand,6731,2019,0.29995543009953946,400,0.0,0.5065625,2.1605252504348753,0.5813904643058777
place,4,high,stable,2007,602,0.2999501743896363,400,0.005,0.605,2.1605252504348753,0.5813904643058777
place,4,low,expand,106,32,0.3018867924528302,74,0.16216216216216217,0.8125,2.1605252504348753,0.5813904643058777
place,4,low,stable,156,47,0.30128205128205127,109,0.1834862385321101,0.8302752293577982,2.1605252504348753,0.5813904643058777
