alignment,digits,carry,width,lsd_position,accuracy
absolute,3,high,expand,0,1.0
absolute,3,high,expand,1,0.8275
absolute,3,high,expand,2,0.2425
absolute,3,high,expand,3,0.1
absolute,3,high,expand,4,0.3425
absolute,3,high,expand,5,0.8925
absolute,3,high,stable,0,1.0
absolute,3,high,stable,1,0.7610619469026548
absolute,3,high,stable,2,0.23008849557522124
absolute,3,high,stable,3,0.1504424778761062
absolute,3,high,stable,4,0.7964601769911505
absolute,3,high,stable,5,1.0
absolute,3,low,expand,0,1.0
absolute,3,low,expand,1,1.0
absolute,3,low,expand,2,0.3783783783783784
absolute,3,low,expand,3,0.1891891891891892
absolute,3,low,expand,4,0.918918918918919
absolute,3,low,expand,5,1.0
absolute,3,low,stable,0,1.0
absolute,3,low,stable,1,1.0
absolute,3,low,stable,2,0.358974358974359
absolute,3,low,stable,3,0.4358974358974359
absolute,3,low,stable,4,1.0
absolute,3,low,stable,5,1.0
absolute,4,high,expand,0,1.0
absolute,4,high,expand,1,0.8275
absolute,4,high,expand,2,0.345
absolute,4,high,expand,3,0.1825
absolute,4,high,expand,4,0.105
absolute,4,high,expand,5,0.13
absolute,4,high,expand,6,0.3275
absolute,4,high,expand,7,0.96
absolute,4,high,stable,0,1.0
absolute,4,high,stable,1,0.815
absolute,4,high,stable,2,0.2725
absolute,4,high,stable,3,0.135
absolute,4,high,stable,4,0.11
absolute,4,high,stable,5,0.2475
absolute,4,high,stable,6,0.9275
absolute,4,high,stable,7,1.0
absolute,4,low,expand,0,1.0
absolute,4,low,expand,1,1.0
absolute,4,low,expand,2,0.9594594594594594
absolute,4,low,expand,3,0.6621621621621622
absolute,4,low,expand,4,0.16216216216216217
absolute,4,low,expand,5,0.5945945945945946
absolute,4,low,expand,6,1.0
absolute,4,low,expand,7,1.0
absolute,4,low,stable,0,1.0
absolute,4,low,stable,1,0.9908256880733946
absolute,4,low,stable,2,0.7614678899082569
absolute,4,low,stable,3,0.47706422018348627
absolute,4,low,stable,4,0.23853211009174313
absolute,4,low,stable,5,0.6788990825688074
absolute,4,low,stable,6,0.963302752293578
absolute,4,low,stable,7,1.0
place,3,high,expand,0,1.0
place,3,high,expand,1,1.0
place,3,high,expand,2,0.31
place,3,high,expand,3,0.1225
place,3,high,expand,4,0.2025
place,3,high,expand,5,0.8875
place,3,high,stable,0,1.0
place,3,high,stable,1,1.0
place,3,high,stable,2,0.26548672566371684
place,3,high,stable,3,0.18584070796460178
place,3,high,stable,4,0.7787610619469026
place,3,high,stable,5,1.0
place,3,low,expand,0,1.0
place,3,low,expand,1,1.0
place,3,low,expand,2,0.6216216216216216
place,3,low,expand,3,0.16216216216216217
place,3,low,expand,4,1.0
place,3,low,expand,5,1.0
place,3,low,stable,0,1.0
place,3,low,stable,1,1.0
place,3,low,stable,2,0.6410256410256411
place,3,low,stable,3,0.3076923076923077
place,3,low,stable,4,1.0
place,3,low,stable,5,1.0
place,4,high,expand,0,1.0
place,4,high,expand,1,0.9975
place,4,high,expand,2,0.41
place,4,high,expand,3,0.1525
place,4,high,expand,4,0.1
place,4,high,expand,5,0.1125
place,4,high,expand,6,0.335
place,4,high,expand,7,0.945
place,4,high,stable,0,1.0
place,4,high,stable,1,0.99
place,4,high,stable,2,0.35
place,4,high,stable,3,0.15
place,4,high,stable,4,0.13
place,4,high,stable,5,0.3275
place,4,high,stable,6,0.8925
place,4,high,stable,7,1.0
place,4,low,expand,0,1.0
place,4,low,expand,1,1.0
place,4,low,expand,2,1.0
place,4,low,expand,3,0.6486486486486487
place,4,low,expand,4,0.24324324324324326
place,4,low,expand,5,0.6081081081081081
place,4,low,expand,6,1.0
place,4,low,expand,7,1.0
place,4,low,stable,0,1.0
place,4,low,stable,1,1.0
place,4,low,stable,2,0.8899082568807339
place,4,low,stable,3,0.47706422018348627
place,4,low,stable,4,0.43119266055045874
place,4,low,stable,5,0.8532110091743119
place,4,low,stable,6,0.9908256880733946
place,4,low,stable,7,1.0
